Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),158286000000.0,1145040000000.0,0.0,214963000000.0,648005000000.0,1098740000000.0
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0
natural gas (BTU),1160850000000.0,0.0,0.0,0.0,1265280000000.0,291111000000.0
petroleum diesel (BTU),12990500000.0,0.0,0.0,0.0,2202100000.0,1112620000.0
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0
biomass (BTU),118567000000.0,0.0,0.0,0.0,0.0,0.0
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane (BTU),71430600000.0,0.0,0.0,0.0,42056800000.0,471962000.0
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0
